Date,Tickers,Adj_Close,Volatility
2021-12-01,HAPV3.SA,10.324759483337402,
2021-12-02,HAPV3.SA,11.014410018920898,1.066795796715312
2021-12-03,HAPV3.SA,11.424201965332031,1.1064860139133472
2021-12-06,HAPV3.SA,11.224302291870115,1.0871248197097898
2021-12-07,HAPV3.SA,11.174328804016112,1.0822846597104547
2021-12-08,HAPV3.SA,11.31425666809082,1.095837310917539
2021-12-09,HAPV3.SA,11.204313278198242,1.0851887926571369
2021-12-10,HAPV3.SA,11.194317817687988,1.0842206867631075
2021-12-13,HAPV3.SA,11.544140815734863,1.118102638067778
2021-12-14,HAPV3.SA,11.3042631149292,1.0948693897589152
2021-12-15,HAPV3.SA,11.354236602783203,1.09970954975825
2021-12-16,HAPV3.SA,11.53414535522461,1.1171345321737487
2021-12-17,HAPV3.SA,11.364232063293455,1.1006776556522793
2021-12-20,HAPV3.SA,11.244293212890623,1.0890610314978477
2021-12-21,HAPV3.SA,11.414206504821776,1.105517908019317
2021-12-22,HAPV3.SA,11.044394493103027,1.0696999296619936
2021-12-23,HAPV3.SA,10.584628105163574,1.0251694600969208
2021-12-27,HAPV3.SA,10.584628105163574,1.0251694600969208
2021-12-28,HAPV3.SA,10.3100004196167,0.9985705174300158
2021-12-29,HAPV3.SA,10.09000015258789,0.9772624891525672
2021-12-30,HAPV3.SA,10.380000114440918,1.0053503068224163
2022-01-03,HAPV3.SA,10.050000190734863,0.9733883105900949
2022-01-04,HAPV3.SA,9.90999984741211,0.9598286394375908
2022-01-05,HAPV3.SA,9.359999656677246,0.9065586149278209
2022-01-06,HAPV3.SA,9.710000038146973,0.9404577466252297
2022-01-07,HAPV3.SA,9.920000076293944,0.9607972071701343
2022-01-10,HAPV3.SA,9.399999618530272,0.9104327934902928
2022-01-11,HAPV3.SA,9.960000038146973,0.9646713857326066
2022-01-12,HAPV3.SA,10.399999618530272,1.0072873499198005
2022-01-13,HAPV3.SA,10.170000076293944,0.9850108462775111
2022-01-14,HAPV3.SA,10.3100004196167,0.9985705174300155
2022-01-17,HAPV3.SA,10.5,1.0169728425098328
2022-01-18,HAPV3.SA,10.520000457763672,1.0189099779749202
2022-01-19,HAPV3.SA,10.920000076293944,1.057651763599642
2022-01-20,HAPV3.SA,11.199999809265137,1.0847710135369475
2022-01-21,HAPV3.SA,11.619999885559082,1.125449934626757
2022-01-24,HAPV3.SA,11.34000015258789,1.0983306846894516
2022-01-25,HAPV3.SA,12.020000457763672,1.164191812619182
2022-01-26,HAPV3.SA,12.550000190734863,1.2155247016638642
2022-01-27,HAPV3.SA,12.119999885559082,1.1738772128415107
2022-01-28,HAPV3.SA,12.399999618530272,1.2009964627788159
2022-01-31,HAPV3.SA,12.65999984741211,1.2261786696187367
2022-02-01,HAPV3.SA,12.479999542236328,1.2087448199037603
2022-02-02,HAPV3.SA,12.489999771118164,1.209713387636304
2022-02-03,HAPV3.SA,12.609999656677246,1.2213359233237207
2022-02-04,HAPV3.SA,12.43000030517578,1.203902165976447
2022-02-07,HAPV3.SA,11.850000381469728,1.147726530636749
2022-02-08,HAPV3.SA,11.380000114440918,1.1022048632519232
2022-02-09,HAPV3.SA,11.5600004196167,1.1196387129668994
2022-02-10,HAPV3.SA,11.720000267028809,1.1351354272167882
2022-02-11,HAPV3.SA,11.899999618530272,1.1525691845640613
2022-02-14,HAPV3.SA,12.1899995803833,1.1806570022339105
2022-02-15,HAPV3.SA,12.770000457763672,1.2368327299413115
2022-02-16,HAPV3.SA,12.720000267028809,1.2319899836462955
2022-02-17,HAPV3.SA,12.630000114440918,1.2232730587888074
2022-02-18,HAPV3.SA,12.199999809265137,1.1816255699664542
2022-02-21,HAPV3.SA,12.0,1.1622546771540934
