Codigo,Nome,Volume
AZEV3,Azevedo & Travassos,244300
SGPS3,Springs,244100
ATMP3,Atma,242400
CMIG3,CEMIG,239700
VVEO3,Viveo,237200
JSLG3,JSL,225800
USIM3,Usiminas,223100
SHUL4,Schulz,222200
SYNE3,SYN,221300
LEVE3,Mahle Metal Leve,213400
IGTI3,Iguatemi,210200
IGTI3,Jereissati Participações,210200
FESA4,Ferbasa,200300
NINJ3,GetNinjas,198400
ETER3,Eternit,197000
MDNE3,Moura Dubeux,195600
SAPR3,Sanepar,193500
TAEE4,Taesa,187200
LOGN3,Log-In,180700
MTRE3,Mitre Realty,180000
TGMA3,Tegma,174800
PORT3,Wilson Sons,164400
VULC3,Vulcabras,163700
FRAS3,Fras-le,157000
ITSA3,Itaúsa,146300
SOJA3,Boa Safra Sementes,128900
TAEE3,Taesa,121700
PRNR3,Priner,116500
PDTC3,Padtec,115400
TPIS3,Triunfo,110700
SANB3,Banco Santander,108400
INEP3,Inepar,106900
BRPR3,BR Properties,102000
SANB4,Banco Santander,102000
RNEW3,Renova Energia,93300
AALR3,Alliança,91200
LOGG3,LOG CP,90600
PFRM3,Profarma,88100
BRAP3,Bradespar,79200
TCSA3,Tecnisa,71800
VITT3,Vittia,66600
LPSB3,Lopes,64600
RNEW4,Renova Energia,62300
AGXY3,AgroGalaxy,60100
FHER3,Fertilizantes Heringer,58000
INEP4,Inepar,56100
MELK3,Melnick,53300
LVTC3,WDC Networks,52900
CSUD3,CSU Cardsystem,52100
EUCA4,Eucatex,51100
GOAU3,Metalúrgica Gerdau,50400
BRKM3,Braskem,44600
HAGA3,Haga,43900
CTNM4,Coteminas,43100
CTSA4,Santanense,43100
GGBR3,Gerdau,42800
DMVF3,D1000 Varejo Farma,41200
ELMD3,Eletromidia,37500
LAND3,Terra Santa,37000
TFCO4,Track & Field,36500
TELB4,Telebras,32200
DEXP3,Dexxos,31500
EALT4,Electro Aço Altona,31500
WLMM4,WLM,31000
ALUP4,Alupar,25500
ALUP3,Alupar,24100
ALLD3,Allied,22400
VSTE3,LE LIS BLANC,20900
CEBR6,CEB,20900
HAGA4,Haga,20900
PMAM3,Paranapanema,20200
RSID3,Rossi Residencial,19800
FRTA3,Pomi Frutas,19200
HOOT4,Hotéis Othon,18800
PTNT4,Pettenati,18400
EUCA3,Eucatex,17700
BEES3,Banestes,17600
UNIP3,Unipar,15700
CEBR3,CEB,15400
CAMB3,Cambuci,15300
APER3,Alper,14100
TELB3,Telebras,13600
CLSC4,Celesc,13000
RAPT3,Randon,12700
TASA3,Taurus,12300
BMEB4,Banco Mercantil do Brasil,11800
OSXB3,OSX Brasil,11800
RSUL4,Metalúrgica Riosulense,11000
PDGR3,PDG Realty,11000
NEXP3,Brasil Brokers,10700
RDNI3,RNI,10700
UCAS3,Unicasa,10700
CEDO3,Cedro Têxtil,10600
BAHI3,Bahema,9300
OIBR4,Oi,9200
BOBR4,Bombril,9200
AVLL3,Alphaville,8000
CTSA3,Santanense,8000
PTNT3,Pettenati,7900
COCE5,Coelce,6800
OFSA3,Ourofino Saúde Animal,6800
SLED3,Saraiva,6300
CEDO4,Cedro Têxtil,5800
SCAR3,São Carlos,5600
MNDL3,Mundial,5200
ATOM3,ATOM,5000
BPAC5,Banco BTG Pactual,4800
ENGI3,Energisa,4600
BAZA3,Banco da Amazônia,4500
CRPG5,Tronox Pigmentos,4400
CTNM3,Coteminas,4200
ENGI4,Energisa,4200
BEES4,Banestes,4100
EQPA3,Equatorial Energia Pará,4000
MNPR3,Minupar,3800
MWET4,Wetzel,3800
CGRA4,Grazziotin,3700
BPAC3,Banco BTG Pactual,3600
WHRL4,Whirlpool,3200
MTSA4,METISA,3100
REDE3,Rede Energia,2500
CRPG6,Tronox Pigmentos,2300
CGRA3,Grazziotin,2200
BRSR3,Banrisul,2200
BIOM3,Biomm,2100
CEED3,CEEE D,2000
EALT3,Electro Aço Altona,2000
SNSY5,Sansuy,2000
EPAR3,EPAR3,1800
TRPL3,Transmissão Paulista,1700
EQMA3B,Equatorial Maranhão,1700
CPLE5,Copel,1400
BMEB3,Banco Mercantil do Brasil,1400
EMAE4,EMAE,1300
ENMT3,Energisa MT,1200
ALPA3,Alpargatas,1200
BRGE3,Consórcio Alfa,1100
CEBR5,CEB,1000
CGAS5,Comgás,900
BGIP4,Banese,900
JOPA3,Josapar,900
TEKA4,Teka,600
DEXP4,Dexxos,600
DOHL4,Döhler,600
WHRL3,Whirlpool,600
BGIP3,Banese,500
MGEL4,Mangels,500
MERC4,Mercantil do Brasil Financeira,500
GPAR3,CELGPAR,400
GEPA3,Rio Paranapanema Energia,400
BMIN4,Banco Mercantil de Investimentos,400
BSLI3,Banco de Brasília,300
SNSY3,Sansuy,300
CLSC3,Celesc,200
BRSR5,Banrisul,200
BSLI4,Banco de Brasília,200
IGTI4,Iguatemi,200
IGTI4,Jereissati Participações,200
CRIV4,Alfa Financeira,200
MOAR3,Monteiro Aranha,100
ENMT4,Energisa MT,100
FRIO3,Metalfrio,100
PATI4,Panatlântica,100
GEPA4,Rio Paranapanema Energia,100
BALM4,Baumer,100
BMKS3,Monark,53
USIM6,Usiminas,3000
BRIV4,Alfa Investimento,2100
DTCY3,Dtcom,1600
CEEB3,COELBA,1400
PLAS3,Plascar,1100
EKTR4,Elektro,700
CSRN3,COSERN,500
CGAS3,Comgás,400
HBTS5,Habitasul,400
BAUH4,Excelsior,300
HETA4,Hercules,300
FIEI3,FIEI3,200
UNIP5,Unipar,100
BALM3,Baumer,100
CTKA4,Karsten,100
AFLT3,Afluente T,100
RPAD5,Alfa Holdings,100
CRIV3,Alfa Financeira,100
MODL3,Banco Modal,16693600
BRKM6,Braskem,2400
PEAB4,Participações Aliança da Bahia,600
TKNO4,Tekno,600
ESTR4,Estrela,600
CTKA3,Karsten,300
LUXM4,Trevisa,200
BMIN3,Banco Mercantil de Investimentos,200
ELET5,Eletrobras,100
SOND6,Sondotécnica,700
CSAB4,Cia. de Seg. Aliança da Bahia,400
BNBR3,Banco do Nordeste,200
PATI3,Panatlântica,100
AHEB3,São Paulo Turismo,100
RPAD6,Alfa Holdings,100
NORD3,Nordon,100
BRIV3,Alfa Investimento,600
LIPR3,Eletropar,400
