Date,"ITUB3.SA,","VALE3.SA,"
2009-01-05,1.0034605560966936,1.0544261884873778
2009-01-06,1.0207612754985078,1.0836065107818242
2009-01-07,0.9948101027102568,1.0163933724109682
2009-01-08,0.9948101027102568,1.0616391633281435
2009-01-09,0.9922150135370906,1.044262404016922
2009-01-12,0.9429078508192846,0.9609836023446581
2009-01-13,0.9294988283219225,0.9868853410069611
2009-01-14,0.8650521776873483,0.940983612727521
2009-01-15,0.8568341767060861,0.9655736064510805
2009-01-16,0.8641875539335885,0.9836063031245669
2009-01-19,0.8641875539335885,0.9727868408634182
2009-01-20,0.8213668962368116,0.929836051999454
2009-01-21,0.8217994423275159,0.957048886671571
2009-01-22,0.8278555560250243,0.9583605667174216
2009-01-23,0.8109870079717955,0.9918029893300511
2009-01-26,0.8287203671498435,1.0104916882586954
2009-01-27,0.8304498957139527,1.0527869291177527
2009-01-28,0.8624576506273606,1.1127867032904852
2009-01-29,0.8620250108511266,1.0829506383124528
2009-01-30,0.8594295469358416,1.0655737492154451
2009-02-02,0.8400402023345124,1.0593442261678256
2009-02-03,0.8582178182944794,1.1118033163902319
2009-02-04,0.8374440826205193,1.1609834336231366
2009-02-05,0.8655756924274082,1.2114754255805709
2009-02-06,0.9001985852173416,1.2704921373175146
2009-02-09,0.8911094024952393,1.2327865112075218
2009-02-10,0.8655756924274082,1.1967215072179067
2009-02-11,0.8699023712463372,1.1632788250337054
2009-02-12,0.8737981903140968,1.1413112829013456
2009-02-13,0.8781258059883229,1.1931148900117379
2009-02-16,0.883751996789959,1.1970489567558955
2009-02-17,0.8647096633907022,1.1183607432260907
2009-02-18,0.8586502706996537,1.1409835737917853
2009-02-19,0.8569198989657772,1.1481965486325512
2009-02-20,0.8478308099292046,1.056721190540589
2009-02-25,0.8352796658274628,1.0000000000000002
2009-02-26,0.8391752038386333,1.0000000000000002
2009-02-27,0.8222964440626654,1.0121312720927855
2009-03-02,0.7751790400737042,0.9547542090828247
2009-03-03,0.783840033082234,0.9731146148658718
